Description,Intent
There is a pending payment on my account that is very strange. I don't remember making this and it won't go away. Can you help me figure this out?,extra_charge_on_statement
I have been charged a pound for something that appears on my statement,extra_charge_on_statement
"There is an extra charge on my account I didn't authorise, it's just £1, what is it?",extra_charge_on_statement
There is an extra small charge on my card! What do I do?,extra_charge_on_statement
Is the 1 pound charge going to be reimbursed on my card?,extra_charge_on_statement
What was the $1 charge for on my statement?,extra_charge_on_statement
My statement contained a one pound extra fee,extra_charge_on_statement
I see a $1 charge in a transaction.,extra_charge_on_statement
How long will the $1 charge show as pending?,extra_charge_on_statement
Why was I charged extra on my app?,extra_charge_on_statement
Do you also have this extra fee on your statement?,extra_charge_on_statement
"There's an extra fee on my statement, why is that?",extra_charge_on_statement
Why do I see an extra £1 charge on my statement?,extra_charge_on_statement
"There is an extra $1 charge on my statement, why is that?",extra_charge_on_statement
Why does my statement show an extra fee?,extra_charge_on_statement
It appears I have a fee in my statement.,extra_charge_on_statement
What is the fee on my statement for?,extra_charge_on_statement
Do I have a $1 extra fee on the statement?,extra_charge_on_statement
Have have a small charge on my account from someone I purchased with but I'm not sure what it relates to.,extra_charge_on_statement
My statement shows and extra 1$ that was charged to it and I would like to know why.,extra_charge_on_statement
Why did you guys charge me an extra €1?,extra_charge_on_statement
How can I find out about an extra fee on my statement?,extra_charge_on_statement
I am inquiring about a $1 charge on my statement.,extra_charge_on_statement
Why is there a charge for $1 on my account?,extra_charge_on_statement
$1 charge in transaction.,extra_charge_on_statement
An extra fee of €1 was in my statement,extra_charge_on_statement
Why was my account assessed a fee?,extra_charge_on_statement
"I do not understand why there is a pending 1£ charge on my statement, I do not recall making this transaction. Can you please tell me what this is about?",extra_charge_on_statement
I got a €1 extra fee in my statement,extra_charge_on_statement
How come there is an extra fee on my statement?,extra_charge_on_statement
What is this extra fee on my statement.,extra_charge_on_statement
I was charged an extra pound for no reason. Why is that?,extra_charge_on_statement
Why have I been charged an extra £1?,extra_charge_on_statement
Why is there an extra pound charge that is pending?,extra_charge_on_statement
I got billed an extra pound!,extra_charge_on_statement
I am seeing and extra 1$ charged to my account and wanted to know about it.,extra_charge_on_statement
Why was I charged $1 in a transaction?,extra_charge_on_statement
Where did this extra €1 fee on my statement come from?,extra_charge_on_statement
Why is there a pending hold on one pound on my statement?,extra_charge_on_statement
"Hello, there seems to be a billing mistake associated with my account.  My app was charged $1 more than it should have.  Could you please explain why this may have happened?",extra_charge_on_statement
Why does my statement have an extra fee?,extra_charge_on_statement
Why was I charged an extra pound?,extra_charge_on_statement
What am I being charged an extra pound when I haven't bought something worth that much?,extra_charge_on_statement
Why is there a 1 euro fee on my statement?,extra_charge_on_statement
"I'm pretty frustrated about a pound charge that keeps  showing up in my account statement. It's listed in the app as pending, it never changes, and now I'm thinking someone's hacked my account!",extra_charge_on_statement
There is a pending 1£ charge on my statement.  I haven't purchased anything for 1£.  Why is it on my statement?,extra_charge_on_statement
What is this random charge of one pound doing on my account?,extra_charge_on_statement
"Hello, I see that I have been charged an extra $1 on my app.  Could you please provide me with a reason for this charge?",extra_charge_on_statement
Why did you charge me extra?,extra_charge_on_statement
I've been charged an extra £1 and I don't know what it's for,extra_charge_on_statement
When did I get a $1 extra fee on my statement?,extra_charge_on_statement
What is the extra fee on my statement?,extra_charge_on_statement
I see a charge of 1L I do not recognize on my statement,extra_charge_on_statement
Why is there an extra fee charged?,extra_charge_on_statement
Please explain the charge of 1L in error.  I have purchased nothing in this amount.,extra_charge_on_statement
I checked my account today and saw that I was charged an extra pound that I did not spend.,extra_charge_on_statement
I was made to pay an additional pound!,extra_charge_on_statement
"I have a strange transaction for £1 on my statement, what is that?",extra_charge_on_statement
"On my statement, there is a strange 1£ charge that appears as pending. What's causing that? I haven't purchased anything that's just a pound.",extra_charge_on_statement
"I just looked at my app and it seems I was charged extra, why is that?",extra_charge_on_statement
I need to know what these extra charges are on my statement?,extra_charge_on_statement
Why has my card been charged an extra pound?,extra_charge_on_statement
"Hey, I got charged extra for some reason when I purchased an app. Is this a hidden fee or something? I don't think it's very cool.",extra_charge_on_statement
What is the dollar that I have pending on my statement there?,extra_charge_on_statement
There has been a charge pending on my account statement that I can't figue out it's for a dollar.,extra_charge_on_statement
"I see an extra $1  charge on my statement, why is this?",extra_charge_on_statement
Why does my transaction have an added fee?,extra_charge_on_statement
My payment did not go through. What do I do?,Failed
out of stock,Failed
The product description is different from the display,Failed
unavailable,Failed
expired,Failed
session timed out,Failed
session timed out,Failed
miserable,Failed
is not available,Failed
crashed,Failed
failure,Failed
The product description is different from the display,Failed
debited twice,Failed
still is not working,Failed
How do I return the product?,Failed
error on page,Failed
not applied,Failed
not loading,Failed
My payment did not go through. What do I do?,Failed
is not available,Failed
site is down,Failed
not received,Failed
The product description is different from the display,Failed
rejected,Failed
reloading again and again,Failed
debited twice,Failed
not displayed,Failed
failed,Failed
not applied,Failed
not displayed,Failed
error on page,Failed
i want to return the product,Failed
site is down,Failed
error on page,Failed
How do I return the product?,Failed
is not available,Failed
site is down,Failed
failed,Failed
How do I return the product?,Failed
i want to return the product,Failed
failed,Failed
not loading,Failed
not displayed,Failed
not received,Failed
did not go through,Failed
tried again and again,Failed
my documents got rejected,Failed
not loading,Failed
debited twice,Failed
crashed,Failed
session timed out,Failed
expired,Failed
not working,Failed
it gave an error,Failed
not working,Failed
unavailable,Failed
failed multiple times,Failed
i want to return the product,Failed
not working,Failed
not applied,Failed
taking a very long time,Failed
My payment did not go through. What do I do?,Failed
not received,Failed
did not go through,Failed
stopped working,Failed
did not go through,Failed
expired,Failed
out of stock,Failed
crashed,Failed
out of stock,Failed
stuck at the same screen,Failed
unavailable,Failed
post comments,feedback
provide a feedback,feedback
provide rating,feedback
comments and feedback,feedback
post comments,feedback
post feedback,feedback
Give comments on it,feedback
how was our services?,feedback
How much do you like our services,feedback
leave a comment,feedback
how was your experience?,feedback
do you have any other problems?,feedback
drop in some comments,feedback
leave a comment,feedback
rate us,feedback
Do you like it?,feedback
provide a feedback,feedback
provide feedback,feedback
wanna give feedback?,feedback
post feedback,feedback
is your issue resolved now?,feedback
Out of 10 how much would you rate us?,feedback
provide rating,feedback
provide a feedback,feedback
I wanna rate,feedback
provide rating,feedback
leave a comment,feedback
how do you like it?,feedback
feedback points,feedback
post comments,feedback
leave your suggestions,feedback
provide feedback,feedback
provide rating,feedback
post feedback,feedback
were we able to solve your issue?,feedback
provide feedback,feedback
What currency is supported for exchanges and holding?,fiat_currency_support
Do you have EUR currency available for me?,fiat_currency_support
Is my country's currency supported by your system?,fiat_currency_support
Can you tell me if I can hold money in several currencies?,fiat_currency_support
What country's money can I hold currency in?,fiat_currency_support
Can I change or hold different currency?,fiat_currency_support
Can I have multiple currencies in my account?,fiat_currency_support
Do you deal with EUR?,fiat_currency_support
What are the currency types that I can keep money in.,fiat_currency_support
Which fiat currencies are supported by you?,fiat_currency_support
"I need to hold money, what currencies can I use?",fiat_currency_support
Which flat currencies can I use from you?,fiat_currency_support
Are EUR exchanges allowed?,fiat_currency_support
What are the fiat currencies used?,fiat_currency_support
Tell me the currencies that you support.,fiat_currency_support
Will you be adding more currencies in the future?,fiat_currency_support
What fiduciary currencies are supported for tenure and exchange?,fiat_currency_support
are multiple currencies acceptable?,fiat_currency_support
What currencies can I hold?,fiat_currency_support
Does my account have the option to hold multiple currencies?,fiat_currency_support
"I'm interested in holding and exchange for flat currencies, what do you support?",fiat_currency_support
Is the EUR accepted for exchanges?,fiat_currency_support
What are my options for holding money in multiple currencies?,fiat_currency_support
Which fiat currencies do you currently support? Will this change in this future?,fiat_currency_support
What currencies do you offer?,fiat_currency_support
Are all European currencies available for holding and exchange?,fiat_currency_support
I need to know which flat currencies are supported by you.,fiat_currency_support
"Do you hold money and if so, what currencies do you accept?",fiat_currency_support
Can exchanged be made to EUR?,fiat_currency_support
What currencies are supported?,fiat_currency_support
I would like for someone to tell me which fiat currencies that your company supports.,fiat_currency_support
I want to have multiple currencies in my account if possible.,fiat_currency_support
Do you allow currency exchanges?,fiat_currency_support
Could you tell me the fiat currencies that you work with?,fiat_currency_support
Is EUR one of the currencies you deal with?,fiat_currency_support
What fiat currencies can I use for holding and exchanging?,fiat_currency_support
Which fiat currencies are compatible for exchange and holding?,fiat_currency_support
How can I exchange to EUR?,fiat_currency_support
Can I have money in more than one currency in my account?,fiat_currency_support
Please list what fiat currencies are supported for both holding and exchanging.,fiat_currency_support
"If I was travelling abroad, would I be able to hold currencies in euros?",fiat_currency_support
I wondered if multiple currencies is okay?,fiat_currency_support
Which fiat currencies are supported?,fiat_currency_support
Do you offer services that hold money in different types of currency?,fiat_currency_support
Can my account have different types of currency in it.,fiat_currency_support
Are there limitations to what currency I can hold?,fiat_currency_support
What currencies are available for my use in holding and exchange?,fiat_currency_support
What flat currencies do you support for holding and exchange?,fiat_currency_support
I would like to know which fiat currencies are recognized by your organization.,fiat_currency_support
What currencies can my account be in?,fiat_currency_support
What type of fiat currencies do you support?,fiat_currency_support
Do you support other currencies?,fiat_currency_support
How can I hold and exchange fiat currencies?,fiat_currency_support
"I want to hold and exchange fiat currencies, what can I use to do so?",fiat_currency_support
Do you convert to Euro?,fiat_currency_support
what currencies do you accept?,fiat_currency_support
What are all the fiat currencies that are supported for both exchange and holding?,fiat_currency_support
Am I allowed to hold money in multiple currencies?,fiat_currency_support
"In the exchange and holding, what fiat is allowed?",fiat_currency_support
Can you convert to EUR?,fiat_currency_support
How many currencies can I have money in in my account?,fiat_currency_support
What are eligible holding and exchange currencies?,fiat_currency_support
What types of fiduciary currencies are supported for tenure and exchange?,fiat_currency_support
What kind of money can I hold?,fiat_currency_support
Can you make exchanges with the EUR?,fiat_currency_support
What flat currencies do you use for holding and exchanges.,fiat_currency_support
What fiat money can I used in the exchange and holding?,fiat_currency_support
Can I hold more than one currency?,fiat_currency_support
What currencies do you support?,fiat_currency_support
What kind of fiat currencies are supported for holding and exchange?,fiat_currency_support
What fiat currencies are used for exchange?,fiat_currency_support
I need assistance with understanding which fiat currencies that you support.,fiat_currency_support
Which currencies will you exchange?,fiat_currency_support
Are you okay with exchanges to EUR?,fiat_currency_support
How can I solve my issue with holding multiple currencies?,fiat_currency_support
What other currencies can I hang onto?,fiat_currency_support
What currencies can I have?,fiat_currency_support
Will you be able to exchange to EUR?,fiat_currency_support
How many different currencies can I have my money in?,fiat_currency_support
can I have multiple currencies?,fiat_currency_support
Can you change my currency to EUR?,fiat_currency_support
Can you tell me the names of the fiat currencies that I can use at your institution?,fiat_currency_support
Can I exchange my money for EUR?,fiat_currency_support
Are you able to make exchanges to EUR?,fiat_currency_support
What fiat currencies do you allow exchange with?,fiat_currency_support
Are all fiat currencies supported?,fiat_currency_support
Is my fiat currency supported for both hold and exchange?,fiat_currency_support
"What currencies can I not hold many in, if so what are they?",fiat_currency_support
Is it okay to hold money in multiple currencies?,fiat_currency_support
Do you provide currency exchange to Euros?,fiat_currency_support
How many different currencies can I hold money in?,fiat_currency_support
Which fiat currencies can I use through this app?,fiat_currency_support
Which currencies are allowed?,fiat_currency_support
Are EUR exchanges acceptable?,fiat_currency_support
Do you have support for flat currencies?,fiat_currency_support
What fiat currencies are supported?,fiat_currency_support
Can you make exchanges using the EUR?,fiat_currency_support
Will you work with any fiat currencies?,fiat_currency_support
Can I have money of different country of origin.,fiat_currency_support
Can I exchange currency to Europe?,fiat_currency_support
"I'm interested in using fiat currencies, which do you support?",fiat_currency_support
Are there any fiat currencies that you will not work with?,fiat_currency_support
Can you tell me how many currencies I can hold?,fiat_currency_support
How many currencies can I have?,fiat_currency_support
What fiat currencies are used with holdings and exchanges?,fiat_currency_support
Is it possible to hold money in multiple currencies?,fiat_currency_support
"I heard that you support more than one type of fiat currency, would you tell me which ones please?",fiat_currency_support
What fiat currencies are used for holdings?,fiat_currency_support
Which flat currencies are supported for holding and exchange?,fiat_currency_support
Is it possible to hold money in different currencies?,fiat_currency_support
What fiat currencies do you support?,fiat_currency_support
Please tell me which fiat currencies you support.,fiat_currency_support
I need a list of currencies you accept for exchange.,fiat_currency_support
Please tell me the types of currency I can hold.,fiat_currency_support
What types of foreign money can be used with this service.?,fiat_currency_support
Do you support fiat currencies?,fiat_currency_support
Do you have a problem with EUR exchanges?,fiat_currency_support
Which flat currencies do you support for holding and exchange?,fiat_currency_support
Which fiat currencies are supported for holding and exchanging?,fiat_currency_support
I need to know which fiat currencies I can use with you.,fiat_currency_support
What other fiat currencies can I use?,fiat_currency_support
How do I go forth on holding money in multiple currencies?,fiat_currency_support
Do you allow exchanges of EUR?,fiat_currency_support
What currencies can I exchange?,fiat_currency_support
Can you do exchanges of EUR?,fiat_currency_support
I need to know what flat currencies you support for holding and exchange.,fiat_currency_support
i dont remember my password,Forgotpassword
can you help with password reset,Forgotpassword
I forgot my password,Forgotpassword
i dont remember my password,Forgotpassword
i need to reset password,Forgotpassword
i need to reset password,Forgotpassword
how can i reset my password,Forgotpassword
how can i reset my password,Forgotpassword
I forgot my password,Forgotpassword
i dont remember my password,Forgotpassword
can you help with password reset,Forgotpassword
i need to reset password,Forgotpassword
how can i reset my password,Forgotpassword
can you help with password reset,Forgotpassword
I forgot my password,Forgotpassword
transfer funds,FundTransfer
P2P fund transfer,FundTransfer
fund transfer,FundTransfer
P2P fund transfer,FundTransfer
I want to transfer funds,FundTransfer
transfer money,FundTransfer
send dollars,FundTransfer
transfer some amount,FundTransfer
transfer money,FundTransfer
want to transfer money,FundTransfer
I want to transfer funds,FundTransfer
transfer an amount of,FundTransfer
send money,FundTransfer
want to transfer money,FundTransfer
I want to transfer funds,FundTransfer
send some money,FundTransfer
I want to send some money,FundTransfer
want to transfer money,FundTransfer
P2P fund transfer,FundTransfer
fund transfer,FundTransfer
transfer amount to,FundTransfer
fund transfer,FundTransfer
hey good morning,Greetings
hi good afternoon,Greetings
hey good afternoon,Greetings
hi wassup,Greetings
hey wassup,Greetings
hello wassup,Greetings
Good morning,Greetings
Sup,Greetings
Hello sup,Greetings
Hi,Greetings
Howdy,Greetings
Hi there,Greetings
Hi how are you,Greetings
What's up,Greetings
How are you,Greetings
Hi how are you,Greetings
"Hey ,Good morning",Greetings
Hello!,Greetings
I'm reaching out about...,Greetings
I am reaching out because...,Greetings
Hope you are doing well,Greetings
"Hi , how are you going",Greetings
"Sup, how are you?",Greetings
Hello there,Greetings
Hola,Greetings
Hi there,Greetings
Hya,Greetings
Hey there,Greetings
how are you,Greetings
Hi,Greetings
how are you,Greetings
Hi how are you,Greetings
Hello there,Greetings
How have you been,Greetings
Wassup,Greetings
Good evening,Greetings
Good afternoon,Greetings
Hello wassup,Greetings
"Hi ,hope everything is fine ",Greetings
"Hello ,how are you doing",Greetings
Howdy,Greetings
how are you,Greetings
Hey sup,Greetings
How you doin,Greetings
My card is stolen.  Help!,LostCard
"My card was lost on vacation, I don't know where it is. Can you help me take care of this immediately?",LostCard
What do I do if my card is stolen?,LostCard
freeze my card,LostCard
I have lost my card! What is my next step?,LostCard
Someone stole my card!,LostCard
loss of my card,LostCard
I didn't find my card,LostCard
I lost my wallet and all my cards were in it.,LostCard
need to block my card,LostCard
Can you provide information for freezing my card immediately?,LostCard
I believe that my card has been stolen!,LostCard
need to block my card,LostCard
freeze my card,LostCard
I think someone stole my card because I can't find it.,LostCard
"I lost my card, what do I do now?",LostCard
My card was stolen,LostCard
Please help me.  My card is missing.,LostCard
lost my card,LostCard
I've lost my card. What can I do about that?,LostCard
card is lost,LostCard
card broke,LostCard
My card has been stolen what do I do?,LostCard
Could you assist me in finding my lost card?,LostCard
How do I deactivate a stolen card?,LostCard
My card has been lost! help!,LostCard
could you block my card,LostCard
What's the phone number to freeze a card?,LostCard
I left my card at a restaurant and now its missing.,LostCard
"help, lost my card",LostCard
Report stolen card,LostCard
"I want to block my card or deactivate it or something, it's been stolen and I don't want it misused. I want this handled right away.",LostCard
lost my card,LostCard
my card is stolen,LostCard
freeze my card,LostCard
could you block my card,LostCard
What are the steps I need to do if I have a stolen card?,LostCard
What should I do?  My card has been stolen!,LostCard
card is stolen,LostCard
card is lost,LostCard
Need help with a stolen card.,LostCard
lost my card,LostCard
I seem to have lost my card.,LostCard
card went missing,LostCard
I lost my card. Can you help me?,LostCard
oh my god I lost my card! what should I do?,LostCard
My card was stolen last night.,LostCard
I lost track of my card,LostCard
My card is lost!  Please help me!,LostCard
My card is missing.,LostCard
Someone stole my wallet with my card in it while vacationing in Spain. I really need my card blocked and a new one ordered.,LostCard
card is broken,LostCard
I'm panicking!  I lost my card!  Help!,LostCard
Can you tell me the status of my new card?,LostCard
I cant find my card.,LostCard
Help Me!  I lost my card.  What should I do?,LostCard
I can't find my card,LostCard
What is the first step that I should take after my card has been stolen?,LostCard
My card is missing!  Help!,LostCard
card snatched,LostCard
I misplaced my card and I dont know where the last place is where I used the card last. Can you look at my account and tell me the last place I used the card?,LostCard
What should I do if I think my card was stolen?,LostCard
How do I report my card as lost or stolen?,LostCard
Can you help me retrieve my card?,LostCard
"Help!  I fear that my card was stolen,",LostCard
I can't find my card!  What should I do?,LostCard
What should I do if my card is stolen?,LostCard
Are you able to guide me to my card's location?,LostCard
my card is missing,LostCard
I think that my card has been stolen!,LostCard
"My wallet was stolen, along with my cards. How do I put a freeze on my cards and order a new one?",LostCard
Is there any way for you to find my card?,LostCard
I think my wallet fell out on the Tube today! I realized as soon as I got to my desk. How do I cut off the card?,LostCard
I think that the card is stolen.  What are my next steps?,LostCard
What can I do if I lost my card?,LostCard
What do I do if my card was stolen.,LostCard
need to block my card,LostCard
My card has been lost / stolen,LostCard
I think my card is stolen!,LostCard
Can you send me a new card and block my current one. I'm in Spain and my wallet was stolen.,LostCard
loss of my card,LostCard
Someone took my card without permission,LostCard
My card is missing.  Please help.,LostCard
My card has gone missing.,LostCard
I lost my card somewhere,LostCard
my card is stolen,LostCard
I have lost my card somewhere,LostCard
Someone took my card without my permission.,LostCard
Could you please freeze my card immediately?,LostCard
I need to report a stolen card,LostCard
"Hi, I am on vacation in Spain and someone stole my bag with my phone and wallet with cards and everything. Can you block it ASAP and then I want to order a new one also ASAP.",LostCard
"My card has been stolen. I reported it with the police, but I need to report it with you as well.",LostCard
could you block my card,LostCard
I think my card is lost.  What do I do?,LostCard
card is broken,LostCard
I can't find my card! Can you help?,LostCard
Has there been any activity on my card today?,LostCard
My bag got stolen with all my cards. Can you please cancel my card and send a new one?,LostCard
Help!  My card is stolen.,LostCard
my card broke,LostCard
Help! I lost my card!,LostCard
How can I report that my card was stolen? I made a police report first.,LostCard
I lost my card n need a new one.,LostCard
"I can't find my card, it is lost.",LostCard
my card is stolen,LostCard
What do I do if my card has been lost or stolen?,LostCard
I need to order a new card as my other one was stolen.,LostCard
Who can I speak with regarding a lost card?,LostCard
loss of my card,LostCard
A fee shouldn't apply to me if my card was stolen.,LostCard
"I thought I left my card at a restaurant, but they claim not to have it and now I don't have any idea where it is. I'm so worried that someone might be using it fraudulently. Is there any way to look into this?",LostCard
My card was stolen. What do I need to do?,LostCard
"i need help, i lost my card",LostCard
How do I replace a stolen card?,LostCard
could you tell me more,MoreInfo
more info,MoreInfo
could you give more details,MoreInfo
more details,MoreInfo
A little more information would be helpful,MoreInfo
more information,MoreInfo
I want to clarify,MoreInfo
more information,MoreInfo
tell me about it,MoreInfo
more info,MoreInfo
more info,MoreInfo
could you tell me more,MoreInfo
more details,MoreInfo
if you could tell me bit more about it,MoreInfo
could you give more details,MoreInfo
more details,MoreInfo
I wanna know it better,MoreInfo
could you give more details,MoreInfo
I was seeking for some information on,MoreInfo
tell me more,MoreInfo
Could you tell me more about it,MoreInfo
Could you tell me more about it,MoreInfo
I want to know more about,MoreInfo
more information,MoreInfo
could you tell me more,MoreInfo
Could you tell me more about it,MoreInfo
I want to know more about it,MoreInfo
tell me about it,MoreInfo
tell me about it,MoreInfo
Can I get to know more about it,MoreInfo
I want more information,MoreInfo
I'm getting mad!,negative_feedback
this is insane,negative_feedback
I do not like you,negative_feedback
I am highly disappointed,negative_feedback
robots are boring,negative_feedback
you are frustrating,negative_feedback
I need to talk to your manager,negative_feedback
Express unfavorable feedback.,negative_feedback
I want to talk to a human,negative_feedback
why are you so difficult?,negative_feedback
such bad policies,negative_feedback
I don't like it at all,negative_feedback
I want to talk to a human,negative_feedback
everyone hates you,negative_feedback
I want to talk to a human,negative_feedback
why did I join this bank,negative_feedback
this is stupid,negative_feedback
I need to talk to your supervisor,negative_feedback
why are you so difficult?,negative_feedback
you are an idiot!,negative_feedback
I need to talk to your supervisor,negative_feedback
This is sick,negative_feedback
I do not like you,negative_feedback
I need to talk to your manager,negative_feedback
you are an idiot!,negative_feedback
you are an idiot!,negative_feedback
robots are boring,negative_feedback
why are you so difficult?,negative_feedback
I do not like you,negative_feedback
Express unfavorable feedback.,negative_feedback
this is stupid,negative_feedback
I'm getting mad!,negative_feedback
Awful,negative_feedback
I hate this!,negative_feedback
I hate this,negative_feedback
everyone hates you,negative_feedback
this is stupid,negative_feedback
I need to talk to your manager,negative_feedback
This is ridiculous,negative_feedback
negative_feedback,negative_feedback
So bad,negative_feedback
I'm getting mad!,negative_feedback
so careless,negative_feedback
I cannot take it anymore,negative_feedback
everyone hates you,negative_feedback
I hate this!,negative_feedback
robots are boring,negative_feedback
you are frustrating,negative_feedback
I need to talk to your supervisor,negative_feedback
I hate this!,negative_feedback
you are frustrating,negative_feedback
hashahah,nonsense
are you a fool,nonsense
it is bad,nonsense
come here,nonsense
savings,nonsense
are you a fool,nonsense
savings,nonsense
this is red,nonsense
sdjhsjd,nonsense
hahahaha,nonsense
123xyz,nonsense
my favorite food item is icecream,nonsense
are you mad,nonsense
ccc,nonsense
is the sky blue,nonsense
sdjhsjd,nonsense
it is bad,nonsense
rainbow has seven colors,nonsense
hahahaha,nonsense
it is bad,nonsense
are you a fool,nonsense
savings,nonsense
ajshajhds,nonsense
random talk,nonsense
is the sky blue,nonsense
are you mad,nonsense
come here,nonsense
sdjhsjd,nonsense
is the sky blue,nonsense
buffalo,nonsense
ccc,nonsense
hahahah,nonsense
ajshajhds,nonsense
hashahah,nonsense
buffalo,nonsense
buffalo,nonsense
this is red,nonsense
are you mad,nonsense
ccc,nonsense
hahahaha,nonsense
this is red,nonsense
ajshajhds,nonsense
come here,nonsense
hashahah,nonsense
hahahah,nonsense
hahahah,nonsense
all right,Ok
tx,Ok
okay,Ok
bye,Ok
Suree,Ok
okay,Ok
Works for me,Ok
allright,Ok
thx,Ok
done,Ok
that is fine,Ok
not required,Ok
okie dokie,Ok
Okayy,Ok
thanks a lot,Ok
cancel,Ok
cool,Ok
not required,Ok
Thank you,Ok
ok,Ok
cool,Ok
okie,Ok
Hmm,Ok
thanks for your support,Ok
ok!,Ok
kk,Ok
bye,Ok
nope,Ok
thanks,Ok
okie,Ok
okk,Ok
nothing,Ok
cancel,Ok
fine,Ok
fine,Ok
thanks for your support,Ok
that was all,Ok
all right,Ok
okayy,Ok
thx,Ok
cool,Ok
cancel,Ok
That works,Ok
that was all,Ok
noted,Ok
Thank you,Ok
that was all,Ok
K,Ok
ok,Ok
Thank you,Ok
fine,Ok
alrighty,Ok
all right,Ok
thanks a lot,Ok
okay,Ok
Ok:),Ok
understood,Ok
nothing,Ok
ok.,Ok
Okk,Ok
tx,Ok
allright,Ok
thanks for your support,Ok
not required,Ok
that is fine,Ok
no,Ok
roger that,Ok
okie,Ok
tx,Ok
thanks,Ok
thanks a lot,Ok
that is fine,Ok
ok,Ok
thanks,Ok
thx,Ok
nope,Ok
no,Ok
nothing,Ok
bye,Ok
no,Ok
alright,Ok
allright,Ok
fine,Ok
nope,Ok
pay my bills,payment
pay my monthly bill,payment
recharge my mobile,payment
pay now,payment
pay the last statement balance on,payment
make bill payment,payment
make a payment,payment
pay the last statement balance on,payment
pay my monthly bill,payment
pay the last statement balance on,payment
pay the bill on this,payment
recharge my mobile,payment
pay the bill on this,payment
pay prepaid bill,payment
pay my bills,payment
pay my bills,payment
pay now,payment
recharge my mobile,payment
pay the bill on this,payment
make bill payment,payment
pay prepaid bill,payment
make a payment,payment
pay my monthly bill,payment
make a payment,payment
make bill payment,payment
pay now,payment
I wanna transfer money online,payment
I want to make an online payment,payment
I was wondering how to make a payment,payment
How to make an online payment to another bank account?,payment
How do i transfer money online?,payment
I want to pay someone from my account,payment
Make an online payment to,payment
How can i send money to someone ,payment
How do i pay to someone,payment
can you make a payment for me,payment
Why can't I make a payment,payment
I need to make a payment,payment
How do i make a money transfer,payment
I want to send money to my relative ,payment
I want to send some amount to another account,payment
pay prepaid bill,payment
How long does it take for a cash withdrawal to show?,pending_cash_withdrawal
withdrawal pending meaning?,pending_cash_withdrawal
how long until a cash withdrawal will show on my account,pending_cash_withdrawal
why isnt my cash withdrawal showing,pending_cash_withdrawal
I got some cash in the ATM but its still pending,pending_cash_withdrawal
How long before I can see that my cash withdrawal has taken place?,pending_cash_withdrawal
"I got cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I already received the cash?",pending_cash_withdrawal
"So much time has gone by, the pending status shouldn't still be there shouldn't it?",pending_cash_withdrawal
My ATM withdrawal is taking forever,pending_cash_withdrawal
Please cancel the latest ATM charge on my card as my card was declined earlier today and I did not receive that cash.,pending_cash_withdrawal
There should be a cash withdrawal that I haven't seen yet.,pending_cash_withdrawal
Why has my deposit in the ATM not cleared yet?,pending_cash_withdrawal
my cash out is still pending,pending_cash_withdrawal
Why does my account show as pending a cash withdrawal from the ATM that I have already made?,pending_cash_withdrawal
Why hasn't my withdrawal shown on my statement?,pending_cash_withdrawal
I'm expecting to see a cash withdrawal but I'm still waiting.,pending_cash_withdrawal
Why would a cash withdrawal still be pending?,pending_cash_withdrawal
Why do I still have a pending cash withdrawal?,pending_cash_withdrawal
What is the reason my cash withdrawal is still pending?,pending_cash_withdrawal
Why is the cash transaction still showing as not completed?,pending_cash_withdrawal
I am not seeing recent cash withdrawal on my account.,pending_cash_withdrawal
I would like to know why a withdraw I made for some cash shows up as pending.,pending_cash_withdrawal
I made a cash withdrawal and it is still listed as a pending transaction.,pending_cash_withdrawal
"I tempted to get some money out of the machine earlier and it did not work.Looking now, the transaction actually shows to still be in progress. I would certainly appreciate someone look into this and let me know what's going on. I definitely do not want to be charged for money I never received.",pending_cash_withdrawal
"I Withdrew cash from an ATM earlier but it shows up as pending in the app. How can this still be pending, I received the cash already?",pending_cash_withdrawal
How long will it take for my cash withdrawal to no longer show as pending?,pending_cash_withdrawal
I have withdrawn cash from the ATM but it is showing in my account as a pending transation. Why is this?,pending_cash_withdrawal
my cash withdrawal has not come out of my account yet.,pending_cash_withdrawal
"My account says there are pending funds right now from withdrawing from an ATM, but my card was declined and I never took out any money. When will that money be deposited back into my account?",pending_cash_withdrawal
"I tried to access money earlier but the machine seems not to be working. After looking, the transaction actually shows to still being process. Can you find out what is going on here? I don't want to be charged for some money I never got.",pending_cash_withdrawal
What does it mean when a cash withdrawal is pending?,pending_cash_withdrawal
Why has my withdrawal not posted?,pending_cash_withdrawal
I tried to get cash out of the ATM but it is taking too long,pending_cash_withdrawal
"Hae there, I have a transaction that is in progress despite the fact that the ATM was not working, what do I do to avoid being charged?",pending_cash_withdrawal
"I tried to get some with-drawls but the machine didn't work. The transaction still seems in progress.Seems like  something is wrong,I don't want to be charged for Transaction i did not make.",pending_cash_withdrawal
When will my cash withdrawal show/,pending_cash_withdrawal
My cash withdrawal shows as pending still.,pending_cash_withdrawal
I withdrew cash but it still shows as pending?,pending_cash_withdrawal
Why is my cash withdrawal still showing as pending?,pending_cash_withdrawal
"When I used one of the ATMs in the city centre today, I tried to take out some money, but for whatever reason, the machine declined my card. Just checked it out in my account and that amount is still showing as pending! Is there any way that you can cancel this transaction, because I did not receive any money whatsoever from the ATM",pending_cash_withdrawal
